f,v
138.573,5.70711
198.689,-4.18251
115.023,6.09865
155.088,2.5645
115.238,-6.09509
177.805,-4.9593
141.698,2.32303
190.521,3.38646
132.615,2.16409
177.657,4.96275
149.921,-5.5115
24.95,8.07804
199.538,3.99986
131.211,5.83056
117.488,-6.05784
57.5619,0.421271
166.031,2.77567
59.7891,-0.537861
196.89,-4.32498
67.2013,6.95022
54.0108,-0.0313066
190.637,3.39052
157.443,-2.60856
195.653,-4.39477
171.353,5.10264
43.7016,-7.48515
39.765,-7.59186
199.452,3.93845
164.387,5.24411
80.7504,-6.6897
199.529,-4.01709
105.353,6.25984
132.979,2.17043
134.002,-2.18825
166.312,2.78137
178.169,3.0399
118.376,-1.91525
142.498,-5.64037
148.865,-5.53008
162.063,-5.28906
196.818,-4.32942
86.343,-1.30422
80.693,1.17776
122.2,5.97994
160.022,2.65757
194.376,3.53765
127.054,-5.89961
186.346,-4.73834
104.206,-6.27913
198.021,3.74943
117.89,-6.05119
196.321,-3.63543
90.6782,-1.39554
197.658,4.27312
184.259,4.79698
56.694,-0.366239
198.41,4.2108
176.809,3.00788
179.115,4.92821
189.719,4.63385
199.486,4.04324
57.3553,-0.408831
83.4249,1.24011
97.2113,-6.39797
196.655,4.33926
136.2,-5.74712
54.0467,-0.0524897
103.552,-6.29015
34.9388,7.73317
94.6483,1.47582
196.421,3.64118
7.63226,9.10943
162.122,-5.28793
67.5702,6.94279
196.024,3.61893
186.118,-3.2474
199.201,-4.11384
173.824,-5.04945
83.2192,-1.23549
74.1005,-1.01526
199.221,3.88409
178.277,-4.94818
192.9,3.47499
8.32617,9.04085
109.546,6.18966
171.069,-5.10866
114.143,-6.11324
183.726,-3.18049
195.729,-4.39083
54.0286,0.0431256
195.933,4.38004
98.3476,6.37851
35.5919,7.71327
158.612,2.63067
196.457,4.3509
81.0665,-6.68388
135.152,2.2083
98.1188,1.54384
192.749,-4.52459
18.8934,8.34222
110.732,1.77891
180.584,4.89232
188.326,-3.31406
194.977,3.56559
120.062,6.01527
196.383,-3.63898
60.3898,-0.565341
189.084,-3.33825
168.866,-5.15447
80.7086,-1.17812
182.822,3.15636
174.186,-2.94817
110.775,-6.1692
84.146,6.62773
50.4936,-7.31521
188.127,3.3078
199.535,-3.98674
119.869,-6.01846
139.638,-5.68908
175.254,2.97219
160.197,-2.66094
194.155,3.52778
56.411,-0.34645
94.7395,6.44056
182.416,3.1457
185.917,-3.2416
185.017,3.21601
167.22,-5.18791
143.721,2.3588
87.7214,-6.5636
179.242,-3.06575
140.421,-2.30055
133.939,5.78504
199.384,-4.07616
198.614,-4.19047
182.553,-4.84234
106.008,1.69269
151.993,-5.47474
135.773,-5.75429
117.192,6.06274
196.606,-4.34222
181.131,4.87868
196.227,4.36395
76.7051,6.76507
174.73,-5.02946
171.737,2.89451
188.268,3.31221
73.0675,-6.83448
191.794,-4.5611
58.7377,-7.12741
194.593,-3.54755
148.146,-5.54269
158.406,-2.62677
163.628,5.2589
195.661,4.39436
101.94,-1.61683
165.197,5.2282
173.854,-2.94079
119.9,1.9421
197.909,3.74034
125.689,5.92222
144.186,2.36705
196.596,-4.34277
197.333,-3.69813
141.295,2.31594
174.212,5.04092
192.178,-3.44674
124.302,5.94517
127.052,5.89965
102.963,-1.63607
194.31,-4.45911
59.501,-0.524194
151.132,5.49006
160.985,5.30959
198.258,-4.22471
91.6206,-6.49482
69.0252,6.91369
95.7519,6.42308
184.119,-4.80076
199.523,3.97221
186.516,4.73337
60.0085,-7.09992
194.231,-4.46265
116.417,-6.07556
129.747,2.11414
195.741,-4.39018
127.98,-5.88426
160.366,-2.66419
199.53,-4.0157
165.94,-2.77385
84.0494,1.25403
198.808,-3.8255
155.768,-5.40662
179.67,-3.07622
173.009,-2.92216
92.1642,1.42593
95.1081,-6.43419
157.197,5.38042
120.324,-6.01095
60.502,0.570337
141.802,-5.65227
159.787,-2.65306
118.439,-1.91637
182.818,-4.83541
138.315,-2.26359
154.511,5.42948
75.2401,-1.04481
59.3749,0.518106
165.3,-2.76098
179.373,-3.06895
130.324,-5.84532
199.271,4.10112
111.438,-1.79165
118.633,-1.9198
184.463,-4.79141
160.775,2.67207
93.78,-1.4585
165.049,2.75594
164.623,5.23948
191.838,3.43389
192.873,3.47389
172.915,-5.06924
198.338,-3.77695
177.942,4.95608
146.468,-5.57194
188.908,3.33257
57.2555,0.402683
29.2983,7.91728
162.093,-2.6976
54.7857,-0.198264
73.6509,6.82324
114.027,6.11516
194.729,4.43999
165.166,2.75829
136.935,-2.23944
197.635,4.27484
156.678,-5.38996
192.924,3.47595
165.134,2.75764
178.506,-3.04797
191.701,4.56458
175.643,-5.00901
186.851,3.26896
75.9943,-1.064
198.92,-3.83929
163.017,2.71568
198.841,-4.16509
155.14,-2.56546
125.538,5.92472
158.09,-5.36389
83.8195,-6.63364
93.2647,1.44817
199.538,-3.9921
140.499,-5.67448
184.239,-3.19445
190.156,-3.37393
128.204,-5.88054
128.251,-2.0881
197.252,-3.69269
81.6228,1.19925
138.355,-2.26429
191.75,3.43063
172.281,5.08289
0.99073,-10.5146
59.1845,0.508775
190.876,-4.59429
199.044,-3.85601
197.614,3.71795
199.475,4.04788
